KEY FIGURES FOR WEEK ENDING,This week
Number of cows on farm,342
Cows in milk,342
Average kg MS/cow/day,1.69
kg MS/ha/day,4.09
kg MS/cow YTD,248
kg MS/ha YTD,646
Average pasture cover (kg DM/ha),2241
Average growth rates (kg DM/ha/day),72
Round length (whole farm/grass area),29/26
soil temperature (average oc @100mm depth),21
Soil moisture deficit (0-300mm depth),2.6
kg DM pasture offered dry cows/milkers,D-0/M-18
kg DM silage/hay fed - average all cows,0
kg DM PKE fed-average all cows,0
kg DM crop fed - average all cows,0
YTD supplement used (kg DM/cow),469
kg N applied/ha YTD,64
FEI grade result,5.2
Excellence Quality,83%
Protein : Fat ratio,0.8
SCC,134
