KEY FIGURES FOR WEEK ENDING,This week
Number of cows on farm,342
Cows in milk,342
Average kg MS/cow/day,1.74
kg MS/ha/day,4.21
kg MS/cow YTD,259
kg MS/ha YTD,676
Average pasture cover (kg DM/ha),2234
Average growth rates (kg DM/ha/day),66
Round length (whole farm/grass area),24/21
soil temperature (average oc @100mm depth),20.8
Soil moisture deficit (0-300mm depth),6.53
kg DM pasture offered dry cows/milkers,D-0/M-18
kg DM silage/hay fed - average all cows,0
kg DM PKE fed-average all cows,0
kg DM crop fed - average all cows,0
YTD supplement used (kg DM/cow),469
kg N applied/ha YTD,67
FEI grade result,5.1
Excellence Quality,83%
Protein : Fat ratio,0.8
SCC,112
