01_05_2023-0-png,
col1,col3
KEY FIGURES FOR WEEK ENDING,This Week
,1/5/2023
Number of cows on farm,361
Cows in milk,177
Average kg MS / cow / day,0.98
kg MS / ha / day,1.25
kg MS / cow YTD,427
kg MS / ha YTD,1088
Average pasture cover ( kg DM / ha ),2415
Average growth rates ( kg DM / ha / day ),54
Round length ( whole farm / grass area ),52/45
Soil temperature ( average oC @ 100mm depth ),16.5
Soil moisture deficit ( 0-300mm depth ),5.6
kg DM pasture offered dry cows / milkers,D - 8 / M - 11.5
kg DM silage / hay fed - average all cows,4.2
kg DM PKE fed - average all cows,2.0
kg DM crop fed - average all cows,0.0
YTD supplement used ( kg DM / cow ),879
kg N applied / ha YTD,90
FEI grade result,6.1
Excellence Quality,5396
Protein : Fat ratio,0.8
SCC,320
