KEY FIGURES FOR WEEK ENDING,This week
Number of cows on farm,351
Cows in milk,350
Average kg MS / cow / day,1.41
kg MS / ha / day,3.53
kg MS / cow YTD,285
kg MS / ha YTD,773
Average pasture cover ( kg DM / ha ),2382
Average growth rates ( kg DM / ha / day ),70
Round length ( whole farm / grass area ),27/24
Soil temperature ( average ° C @ 100mm depth ),24.5
Soil moisture deficit ( 0-300mm depth ),1.4
kg DM pasture offered dry cows / milkers,D - 0 / M - 20.9
kg DM silage / hay fed - average all cows,0.0
kg DM PKE fed - average all cows,0.0
kg DM crop fed - average all cows,0.0
YTD supplement used ( kg DM / cow ),444
kg N applied / ha YTD,81
FEI grade result,4.7
Excellence Quality,87%
Protein : Fat ratio,0.8
SCC,152
