FOR WEEK ENDING,This week
KEY FIGURES,9/01/2023
Number of cows on farm,351
Cows in milk,350
Average kg MS / cow / day,1.43
kg MS / ha / day,3.64
kg MS / cow YTD,293
kg MS / ha YTD,794
Average pasture cover ( kg DM / ha ),2419
Average growth rates ( kg DM / ha / day ),65
Round length ( whole farm / grass area ),30/27
Soil temperature ( average ° C @ 100mm depth ),22.9
Soil moisture deficit ( 0-300mm depth ),5.16
kg DM pasture offered dry cows / milkers,D - 0 / M - 19.54
kg DM silage / hay fed - average all cows,0.0
kg DM PKE fed - average all cows,0.0
kg DM crop fed - average all cows,0.0
YTD supplement used ( kg DM / cow ),444
kg N applied / ha YTD,81
FEI grade result,4.8
Excellence Quality,86%
Protein : Fat ratio,0.8
SCC,163
