col1,col3
KEY FIGURES FOR WEEK ENDING,This week
WEEK,10/04/2023
Number of cows on farm,336
Cows in milk,264
Average kg MS / cow / day,1.07
kg MS / ha / day,2.36
kg MS / cow YTD,414
kg MS / ha YTD,1057
Average pasture cover ( kg DM / ha ),2094
Average growth rates ( kg DM / ha / day ),36
Round length ( whole farm / grass area ),37/33
Soil temperature ( average ° C @ 100mm depth ),18.1
Soil moisture deficit ( 0-300mm depth ),5.5
kg DM pasture offered dry cows / milkers,D - 8 / M - 15
kg DM silage / hay fed - average all cows,3.0
kg DM PKE fed - average all cows,0.0
kg DM crop fed - average all cows,0.0
YTD supplement used ( kg DM / cow ),767
kg N applied / ha YTD,88
FEI grade result,4.4
Excellence Quality,58%
Protein : Fat ratio,0.8
SCC,213
